label,bandwidth,latency,rtt,jitter,ipa,win_incs,win_decs,retrans,outoforders
loss,0.08,356.88,1427.5,713.75,0.61,0,0,0,0
cong,15.51,0.01,0.01,0,0,10,13,0,4
cong,12.54,0.01,0.01,0,0,7,8,0,3
cong,16.76,0,0.01,0,0,1,1,0,2
cong,16.9,0.01,0.01,0,0,0,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
cong,11.22,0.01,0.02,0,0.01,19,33,0,14
loss,0.07,513.08,2052.34,1026.17,1.43,0,0,0,0
cong,11.62,0.01,0.02,0,0.01,9,12,0,1
cong,7,0.01,0.01,0,0.01,15,18,0,8
loss,0.08,3.14,12.58,6.29,0,0,0,0,0
loss,0.08,408.06,1632.24,816.12,0,0,0,0,0
loss,0.07,50.98,203.93,101.97,0,1,0,0,0
loss,0.07,0,0.02,0.01,0,0,0,0,0
loss,0.08,0,0,0,0.01,0,0,0,0
cong,15.97,0,0.01,0,0,3,4,0,0
loss,0.08,152.99,611.95,305.97,0.61,0,1,0,0
loss,0.08,3373.12,13492.49,6746.24,0.61,1,0,0,0
loss,0.08,513.09,2052.35,1026.17,0,0,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
loss,0.08,153,612,306,0.61,0,0,0,0
cong,28.03,0,0.01,0,0,52,17,0,3
loss,0.09,0,0,0,0,0,0,0,0
loss,0.09,0,0,0,0,0,0,0,0
loss,0.09,0,0,0,0,1,0,0,0
loss,0.08,0,0,0,0,1,0,0,0
cong,16.1,0.01,0.01,0,0,5,4,0,2
cong,10.3,0.01,0.01,0,0.01,13,14,0,6
loss,0.08,156.16,624.66,312.33,0.61,0,0,0,0
loss,0.07,51.01,204.05,102.02,0,1,0,0,0
cong,30.42,0,0.01,0,0,50,7,0,0
cong,10.82,0.01,0.01,0,0.01,12,15,0,5
loss,0.09,0,0,0,0,0,0,0,0
loss,0.09,0,0,0,0,0,0,0,0
loss,0.08,305.67,1222.67,611.34,0.61,0,0,0,0
loss,0.08,0,0,0,0,1,0,0,0
loss,0.07,153.05,612.19,306.1,0.61,1,0,0,0
loss,0.07,156.13,624.53,312.27,0.62,0,0,0,0
loss,0.07,0,0.01,0.01,0,0,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
cong,11.48,0.01,0.01,0,0.01,9,15,0,6
loss,0.07,50.98,203.92,101.96,0.2,0,1,0,0
loss,0.07,50.82,203.27,101.63,0,0,0,0,0
loss,0.09,0,0,0,0,0,0,0,0
loss,0.08,0,0,0,0,1,0,0,0
cong,16.63,0.01,0.01,0,0,1,2,0,0
cong,7.19,0.01,0.01,0,0.01,8,8,0,4
cong,14.65,0.01,0.02,0,0,6,5,0,0
cong,14.98,0.01,0.01,0,0,5,5,0,2
cong,9.57,0.01,0.01,0,0.01,7,8,0,2
loss,0.07,101.98,407.91,203.95,0.2,1,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
loss,0.09,509.95,2039.79,1019.9,0,0,1,0,0
cong,23.23,0,0.01,0,0,1,1,0,0
loss,0.08,509.97,2039.89,1019.94,0,0,0,0,0
cong,11.02,0.01,0.01,0,0.01,8,15,0,6
cong,11.48,0.01,0.01,0,0.01,8,10,0,3
loss,0.08,155.88,623.53,311.76,0.61,0,0,0,0
loss,0.07,919.25,3676.99,1838.5,0.61,0,0,0,0
cong,12.74,0.01,0.01,0,0,5,5,0,3
loss,0.08,207.16,828.62,414.31,0.2,0,0,0,0
loss,0.09,0,0,0,0,1,0,0,0
loss,0.08,51.34,205.36,102.68,0,1,0,0,0
loss,0.07,51,204.01,102,0,0,0,0,0
loss,0.09,0,0,0,0,0,0,0,0
cong,19.27,0.01,0.01,0,0,8,5,0,2
loss,0.08,0,0,0,0,0,0,0,0
loss,0.08,0,0,0,0,1,0,0,0
loss,0.09,0,0,0,0,1,0,0,0
cong,15.84,0.01,0.01,0,0,6,7,0,2
loss,0.08,560.82,2243.26,1121.63,0.61,0,1,0,0
loss,0.07,1787.95,7151.79,3575.89,0.2,1,0,0,0
cong,15.83,0.01,0.03,0,0,37,9,0,3
loss,0.08,0,0,0,0,1,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
loss,0.07,103.24,412.94,206.47,0.21,0,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
cong,16.3,0.01,0.01,0,0,3,7,0,2
loss,0.09,82419.35,329677.41,164838.7,0.21,1,0,0,0
loss,0.07,1635.04,6540.14,3270.07,0.2,0,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
loss,0.07,51,204.01,102,0,0,0,0,0
loss,0.07,51.01,204.04,102.02,0,1,0,0,0
loss,0.07,82317.35,329269.41,164634.7,329.27,1,0,0,0
cong,14.78,0.01,0.01,0,0,5,7,0,3
cong,2.77,0.01,0.01,0,0.02,5,9,0,2
loss,0.08,0,0,0,0,1,0,0,0
loss,0.08,0,0,0,0,1,0,0,0
loss,0.08,713.92,2855.67,1427.83,1.43,0,1,0,0
loss,0.08,0,0,0,0,0,0,0,0
loss,0.08,408.06,1632.24,816.12,0.2,0,0,0,0
loss,0.07,203.96,815.86,407.93,0.2,0,0,0,0
loss,0.08,3220.19,12880.78,6440.39,12.88,0,1,0,0
cong,12.14,0.01,0.01,0,0.01,2,5,0,2
cong,10.63,0,0.01,0,0.01,0,0,0,0
loss,0.08,509.82,2039.29,1019.65,1.43,0,1,0,0
cong,20.06,0.01,0.01,0,0,3,3,0,1
loss,0.07,101.92,407.7,203.85,0.2,0,0,0,0
loss,0.07,408.06,1632.23,816.11,0.2,1,0,0,0
loss,0.09,0,0,0,0,0,0,0,0
cong,56.17,0.88,1.77,0,0,523,77,0,4
loss,0.09,0,0,0,0,0,0,0,0
cong,14.92,0.01,0.03,0,0,7,8,0,3
loss,0.08,0,0,0,0,0,0,0,0
cong,14.12,0.01,0.01,0,0,3,3,0,1
loss,0.07,766.14,3064.55,1532.28,3.06,1,0,0,0
loss,0.08,0,0,0,0,0,0,0,0
cong,10.82,0.01,0.01,0,0.01,2,2,0,1
loss,0.07,50.77,203.1,101.55,0,1,0,0,0
loss,0.09,0,0,0,0,0,0,0,0
cong,9.64,0.01,0.01,0,0.01,9,18,0,5
loss,0.08,0,0,0,0,1,0,0,0
